,Location ID,Field,Telescope,SDSS ID,nvisits,Bin ,Signal-to-noise,teff,Effective Temperature Error,logg,Log(g) Error,vscatter,vsini,RA,Dec,SLs,FE/H,FE/H Error,Radius [Solar Radii],"CO Mass [Solar Masses, Joker]","CO Mass [Solar Masses, Rotational Period]",Star Flags (spelled),ASPCAP Flags (spelled),J-Band Magnitude,J-Band Error,H-Band Magnitude,H-Band Error,K-Band Magnitude,K-Band Error,"Period [Joker, Seconds]",Eccentricity [Joker],"K [Joker, km/s]","Period [seconds, Rotational]",Percent Error Mass,Comments,,,,,,,
2900,4515,320+60,apo25m,2M13242101-0018570,4,1,872.89325,6331.05,44.250626,4.099028,0.023797603,21.256409,13.03467,201.087563,-0.315838,1,-0.089904,-0.089904,1.925,3.480931817,1.223224062,PERSIST_LOW,,7.234,0.023,7.041,0.038,6.955,0.023,135696.2585,0.205193043,221.9380482,645553.983,64.859,,,,,,,,
4581,2023,075-35_MGA,apo25m,2M22154170+1154386,3,1,504.18457,6340.2896,52.09699,3.9616337,0.030014236,3.5382805,13.966899,333.923781,11.910725,1,-0.36866,-0.36866,1.638,6.891473646,1.030696521,,,8.162,0.02,7.953,0.017,7.933,0.026,13499977.59,0.732284606,124.2994997,512643.8793,85.044,,,,,,,,
4379,2744,040-27_MGA,apo25m,2M20403505-0608501,3,1,99.57161,5890.0283,39.603382,4.131276,0.02940894,40.03534,16.371935,310.146053,-6.147251,1,-0.0085881,-0.0085881,1.554,6.191143748,1.396290512,,VMICRO_WARN,11.297,0.026,11.026,0.026,10.935,0.023,164184.0374,6.20E-05,264.679382,414909.0182,77.447,,,,,,,,
52,2282,110-62_MGA,apo25m,2M00294317-0104343,4,1,139.48822,6103.2075,46.062862,4.0933123,0.030474355,10.379122,15.534598,7.429879,-1.076207,1,-0.173,-0.173,1.641,5.108268158,1.090280395,MTPFLUX_LT_75,,11.157,0.027,10.918,0.022,10.843,0.021,172236.2469,0.022670807,237.0366113,461753.7526,78.657,,,,,,,,
2690,4148,N4147,apo25m,2M12050458+1759507,3,1,123.65597,5632.201,39.495033,4.2467427,0.043444216,38.207794,16.489218,181.269086,17.997429,1,-0.43311,-0.43311,1.992,5.051602744,1.413152397,PERSIST_HIGH,VMICRO_WARN,11.912,0.02,11.543,0.023,11.442,0.019,231400.0854,0.000164974,211.0197492,528069.5749,72.026,,,,,,,,
4123,5005,K05_080+14,apo25m,2M19241736+4729134,4,1,199.00697,6151.8564,45.793514,3.6475718,0.030019926,27.537771,15.06954,291.072334,47.487061,1,-0.38713,-0.38713,2.791,4.488844965,1.329701669,,,10.172,0.021,9.972,0.017,9.934,0.014,169017.112,0.316019624,263.933303,809583.6199,70.378,,,,,,,,
3368,2359,049+46_MGA,apo25m,2M16144390+3025563,3,1,521.1306,5849.671,29.068272,3.8783767,0.020855831,41.100708,21.503046,243.682935,30.432314,1,-0.019576,-0.019576,2.697,4.243279694,1.459896408,,"VMICRO_WARN,N_M_WARN",9.175,0.021,8.929,0.022,8.812,0.017,157540.8451,0.046520341,220.8669761,548255.2943,65.595,,,,,,,,
594,4596,158-12,apo25m,2M03534279+3708076,3,1,77.275375,4900.2793,19.356867,4.4602795,0.027467087,20.716228,14.384672,58.428325,37.135471,1,-0.016727,-0.016727,1.129,3.970929146,1.17118377,,VMICRO_WARN,12.843,0.024,12.19,0.031,12.009,0.023,161391.4948,0.026596077,207.6148011,343080.3545,70.506,,,,,,,,
2460,4443,210+60,apo25m,2M10370001+2527527,3,1,99.39369,4540.0933,20.749561,4.005495,0.04402005,15.61832,12.333887,159.25008,25.464651,1,-0.73321,-0.73321,2.325,3.799375966,1.173014029,,"VMICRO_WARN,N_M_WARN",12.058,0.021,11.519,0.019,11.411,0.018,219168.6356,0.0180851,181.1440819,823995.5451,69.126,,,,,,,,
3091,4493,010+60,apo25m,2M14442311+1348111,4,1,134.61768,6176.733,40.40584,3.938549,0.023212986,4.4608827,30.718504,221.096311,13.803105,1,0.17245,0.17245,2.35,3.598004946,1.033627227,SUSPECT_ROTATION,,10.916,0.022,10.709,0.02,10.672,0.018,172316.9552,0.208322033,210.3532808,334402.6207,71.272,Remove 3rd visit bc is very bad,,,,,,,
