,Field,Telescope,SDSS ID,nvisits,SNR,J_M,J_M_e,H_M,H_M_e,K_M,K_M_e,RA,Dec,Star Flags (bitwise),Star Flags (spelled),ASPCAP Flags (bitwise),ASPCAP Flags (spelled),teff,teff_e,logg,logg_e,vscatter,vsini,SLs,Fe_H,Fe_H_e,radius,P_joker,e_joker,K_joker,P_rsync,RHS_joker,RHS_rsync,CO_mass_joker,CO_mass_rsync
5,100-60,apo25m,2M00031962-0017109,6.0,315.99847,10.664,0.023,10.42,0.025,10.379,0.025,0.83175,-0.286375,8388608.0,SUSPECT_ROTATION,64.0,N_M_WARN,6094.2744,35.599487,4.0134206,0.021947207,25.30714,45.12321,1.0,-0.023902,-0.023902,2.117,184366.72897338867,0.009891241788864136,127.75693360551038,205079.73263736427,0.4541058142605392,0.0039851866424045574,2.3640203334346643,1.1767125784188797
52,110-62_MGA,apo25m,2M00294317-0104343,4.0,139.48822,11.157,0.027,10.918,0.022,10.843,0.021,7.429879,-1.076207,16777216.0,MTPFLUX_LT_75,0.0,,6103.2075,46.062862,4.0933123,0.030474355,10.379122,15.534598,1.0,-0.173,-0.173,1.641,172236.24687194824,0.0226708073168993,237.0366113136556,461753.7526155578,2.65722830724229,0.0006189976562449087,5.10826815839505,1.0902803946664255
60,120-30,apo25m,2M00325201+3316471,3.0,114.09875,12.184,0.024,11.957,0.032,11.766,0.022,8.216713,33.279755,0.0,,4.0,VMICRO_WARN,5890.115,39.33724,4.3360806,0.029422665,9.803916,14.852515,1.0,-0.055423,-0.055423,1.517,230444.68688964844,0.0006231428124010563,123.81907483696799,446465.0351551059,0.5239864015418176,0.0005044091058167155,2.4751824157531264,1.0840012729224364
64,120-06,apo25m,2M00334175+5759026,3.0,332.97913,10.411,0.023,9.844,0.028,9.752,0.02,8.423981,57.984058,0.0,,708.0,"VMICRO_WARN,N_M_WARN,STAR_WARN,COLORTE_WARN",4743.8115,13.72487,4.472014,0.021167384,2.0977879,10.587659,1.0,-0.21986,-0.21986,1.004,258551.63497924805,0.0380176343023777,127.55598102740123,414510.59826139634,0.607011832864407,4.587933220251731e-06,2.6016384805813146,1.0168023121596077
116,123-63_MGA,apo25m,2M00484890-0023195,3.0,15.710821,10.77,0.027,10.318,0.027,10.218,0.025,12.203787,-0.388775,58721280.0,"PERSIST_MED,SUSPECT_ROTATION,MTPFLUX_LT_75,MTPFLUX_LT_50",134217764.0,"VMICRO_WARN,C_M_WARN,SN_BAD",4813.915,52.908413,4.1734414,0.10482843,2.3532643,43.53114,1.0,-0.73707,-0.73707,1.611,130512.11929321289,0.17538060247898102,178.2107480082177,161769.77127931852,0.6631771612929805,2.527587571882517e-06,2.6843790485105936,1.0137465600628466
209,sgr_tidal15,lco25m,2M01230834-0803007,4.0,93.07038,12.843,0.024,12.468,0.023,12.398,0.021,20.784764,-8.050198,0.0,,68.0,"VMICRO_WARN,N_M_WARN",5243.0737,31.52618,3.9786696,0.038735,42.207573,26.163754,1.0,-0.40998,-0.40998,1.92,155373.1533050537,0.04976936802268028,155.68183800954998,320776.86844759696,0.6510736077264692,0.028918176539116033,2.6667184073322767,1.3805677162118952
212,140-60,apo25m,2M01232203+0142453,3.0,307.6233,10.277,0.024,9.849,0.024,9.765,0.024,20.841804,1.712609,2048.0,PERSIST_LOW,68.0,"VMICRO_WARN,N_M_WARN",5062.399,12.179967,3.8459265,0.03177784,39.645638,15.624278,1.0,-0.82676,-0.82676,1.929,147787.94174194336,0.041535861790180206,175.64918634188538,539677.2883276356,0.9010273011359891,0.040319681767396816,3.0163648393144165,1.43657747983367
286,160-60,apo25m,2M02003703-0338560,4.0,245.45863,10.407,0.023,10.091,0.022,9.995,0.026,30.154309,-3.648907,8388608.0,SUSPECT_ROTATION,64.0,N_M_WARN,5464.9746,23.215528,4.102594,0.022117916,52.419544,38.610016,1.0,-0.17514,-0.17514,1.378,131941.68434143066,0.20940984785556793,156.9205422089576,156009.5225313107,0.42968010466123696,0.02694185808971426,2.3239290800781456,1.369748360548641
301,151-45_MGA,apo25m,2M02110825+1219306,3.0,670.1787,8.019,0.021,7.819,0.024,7.747,0.02,32.784402,12.325182,0.0,,64.0,N_M_WARN,6357.1743,42.154114,4.401506,0.021567862,22.04928,12.319696,1.0,0.030388,0.030388,1.397,174778.75442504883,0.007009285036474466,142.5585725835202,495676.4508988013,0.6007353056589302,0.006370569303060535,2.592261595837151,1.2105664936228855
317,173-61,lco25m,2M02205070-0615283,3.0,122.49536,12.171,0.026,11.75,0.025,11.606,0.025,35.21129,-6.257874,0.0,,68.0,"VMICRO_WARN,N_M_WARN",4672.0557,11.78508,3.9411702,0.03323409,16.6589,13.289235,1.0,-0.4335,-0.4335,2.485,160544.38705444336,0.04419330134987831,138.67476116780762,817388.0486904643,0.47966632682026455,0.004530686034101887,2.4052532342843174,1.1853328739779294
